ALBUM_NAME,ARTIST,ALBUM_NAME_COMPLETE,SONG
The Mantle,Agalloch,The Mantle (2002),In the Shadow of Our Pale Companion
Ænima,Tool,Ænima (1996),Stinkfist
De mysteriis dom Sathanas,Mayhem,De mysteriis dom Sathanas (1994),Funeral Fog
Sons of Northern Darkness,Immortal,Sons of Northern Darkness (2002),Sons of Northern Darkness
Crack the Skye,Mastodon,Crack the Skye (2009),The Czar: I. Usurper, II. Escape, III. Marty, IV. Spiral
Obsolete,Fear Factory,Obsolete (1998),Edgecrusher
King for a Day... Fool for a Lifetime,Faith No More,King for a Day... Fool for a Lifetime (1995),Digging the Grave
Mutter,Rammstein,Mutter (2001),Ich will
Run to the Light,Trouble,Run to the Light (1987),The Misery Shows
Coma of Souls,Kreator,Coma of Souls (1990),People of the Lie
To Mega Therion,Celtic Frost,To Mega Therion (1985),The Usurper
Kyuss [Welcome to Sky Valley],Kyuss,Kyuss [Welcome to Sky Valley] (1994),Supa Scoopa & Mighty Scoop
Images and Words,Dream Theater,Images and Words (1992),Under a Glass Moon
Slave to the Grind,Skid Row,Slave to the Grind (1991),Monkey Business
Imaginations From the Other Side,Blind Guardian,Imaginations From the Other Side (1995),The Script for My Requiem
Pleasure to Kill,Kreator,Pleasure to Kill (1986),Riot of Violence
Somewhere Out in Space,Gamma Ray,Somewhere Out in Space (1997),Valley of the Kings
Remission,Mastodon,Remission (2002),March of the Fire Ants
Metropolis Pt. 2: Scenes From a Memory,Dream Theater,Metropolis Pt. 2: Scenes From a Memory (1999),Home
The Sound of Perseverance,Death,The Sound of Perseverance (1998),Flesh and the Power it Holds
Tales of Creation,Candlemass,Tales of Creation (1989),A Tale of Creation
Hammer of the North,Grand Magus,Hammer of the North (2010),Hammer of the North
Future World,Pretty Maids,Future World (1987),Future World
Death or Glory,Running Wild,Death or Glory (1989),Riding the Storm
Empire,Queensrÿche,Empire (1990),Empire
